Jan  5 00:13:30 c.mx.h2.net sm-mta[8667]: jB88DNFk008667: from=<u13@h2.net>, size=3666, class=-60, nrcpts=1, msgid=<u14@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:34 d.mx.h2.net sm-mta[13137]: jB88DYi1013132: to=<u348@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229500, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DYWX000518 Message accepted for delivery) 
Jan  5 00:13:34 b.mx.h2.net sm-mta[8578]: jB88DY3n008578: from=<u13@h2.net>, size=2049, class=-60, nrcpts=1, msgid=<u356@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:34 b.mx.h2.net sm-mta[8585]: jB88DY3n008578: to=<u360@h2.net>, delay=00:00:01, xdelay=00:00:00, mailer=esmtp, pri=230049, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DZ2g008695 Message accepted for delivery) 
Jan  5 00:13:34 d.mx.h2.net sm-mta[13141]: jB88DY8M013141: from=<u13@h2.net>, size=1275, class=-60, nrcpts=1, msgid=<u359@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:34 d.mx.h2.net sm-mta[13150]: jB88DY8M013141: to=<u376@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229275, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DZou008711 Message accepted for delivery) 
Jan  5 00:13:34 a.mx.h2.net sm-mta[12521]: jB88DZY7012521: from=<u13@h2.net>, size=1889, class=-60, nrcpts=1, msgid=<u361@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:34 a.mx.h2.net sm-mta[12526]: jB88DZY7012521: to=<u371@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229889, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DZa4000532 Message accepted for delivery) 
Jan  5 00:13:34 d.mx.h2.net sm-mta[13144]: jB88DZVa013144: from=<u13@h2.net>, size=1192, class=-60, nrcpts=1, msgid=<u366@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:34 d.mx.h2.net sm-mta[13159]: jB88DZVa013144: to=<u379@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229192, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DZ6Q008714 Message accepted for delivery) 
Jan  5 00:13:34 c.mx.h2.net sm-mta[9083]: jB88DZoh009083: from=<u13@h2.net>, size=1352, class=-60, nrcpts=1, msgid=<u375@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:34 c.mx.h2.net sm-mta[9088]: jB88DZoh009083: to=<u378@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229352, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DZAD000548 Message accepted for delivery) 
Jan  5 00:13:34 d.mx.h2.net sm-mta[13170]: jB88DZib013170: from=<u13@h2.net>, size=1192, class=-60, nrcpts=1, msgid=<u394@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:34 d.mx.h2.net sm-mta[13178]: jB88DZib013170: to=<u403@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229192, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DZHO000586 Message accepted for delivery) 
Jan  5 00:13:34 c.mx.h2.net sm-mta[9099]: jB88DZdx009099: from=<u13@h2.net>, size=1352, class=-60, nrcpts=1, msgid=<u401@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:35 c.mx.h2.net sm-mta[9116]: jB88DZdx009099: to=<u423@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229352, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DZTX008758 Message accepted for delivery) 
Jan  5 00:13:34 c.mx.h2.net sm-mta[9100]: jB88DZsJ009100: from=<u13@h2.net>, size=1192, class=-60, nrcpts=1, msgid=<u402@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:35 c.mx.h2.net sm-mta[9115]: jB88DZsJ009100: to=<u421@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229192, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DZDZ008757 Message accepted for delivery) 
Jan  5 00:13:34 b.mx.h2.net sm-mta[8592]: jB88DZpm008592: from=<u13@h2.net>, size=1972, class=-60, nrcpts=1, msgid=<u415@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:35 b.mx.h2.net sm-mta[8597]: jB88DZpm008592: to=<u428@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229972, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DZTH000600 Message accepted for delivery) 
Jan  5 00:13:35 a.mx.h2.net sm-mta[12544]: jB88DZSp012544: from=<u13@h2.net>, size=1272, class=-60, nrcpts=1, msgid=<u418@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:35 a.mx.h2.net sm-mta[12549]: jB88DZSp012544: to=<u430@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229272, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DZd6008774 Message accepted for delivery) 
Jan  5 00:13:35 d.mx.h2.net sm-mta[13180]: jB88DZdU013180: from=<u13@h2.net>, size=1272, class=-60, nrcpts=1, msgid=<u425@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:35 d.mx.h2.net sm-mta[13185]: jB88DZdU013180: to=<u431@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229272, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DZfC008794 Message accepted for delivery) 
Jan  5 00:13:35 a.mx.h2.net sm-mta[12554]: jB88DaCD012554: from=<u13@h2.net>, size=1266, class=-60, nrcpts=1, msgid=<u448@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:35 a.mx.h2.net sm-mta[12559]: jB88DaCD012554: to=<u451@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229266, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88Da3I008817 Message accepted for delivery) 
Jan  5 00:13:35 b.mx.h2.net sm-mta[8604]: jB88Daqo008604: from=<u13@h2.net>, size=12516, class=-60, nrcpts=1, msgid=<u464@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:35 b.mx.h2.net sm-mta[8610]: jB88Daqo008604: to=<u480@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=240516, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88Da94000623 Message accepted for delivery) 
Jan  5 00:13:35 c.mx.h2.net sm-mta[9135]: jB88Dacv009135: from=<u13@h2.net>, size=1740, class=-60, nrcpts=1, msgid=<u472@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:35 c.mx.h2.net sm-mta[9144]: jB88Dacv009135: to=<u482@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229740, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DaXg000630 Message accepted for delivery) 
Jan  5 00:13:35 d.mx.h2.net sm-mta[13202]: jB88Dan0013202: from=<u13@h2.net>, size=1651, class=-60, nrcpts=1, msgid=<u490@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:35 d.mx.h2.net sm-mta[13210]: jB88Dan0013202: to=<u505@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229651, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DaUC000654 Message accepted for delivery) 
Jan  5 00:13:35 c.mx.h2.net sm-mta[9150]: jB88Dahs009150: from=<u13@h2.net>, size=1817, class=-60, nrcpts=1, msgid=<u500@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:35 c.mx.h2.net sm-mta[9155]: jB88Dahs009150: to=<u511@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229817, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DaPP000664 Message accepted for delivery) 
Jan  5 00:13:35 d.mx.h2.net sm-mta[13214]: jB88Da29013214: from=<u13@h2.net>, size=1343, class=-60, nrcpts=1, msgid=<u508@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:35 d.mx.h2.net sm-mta[13224]: jB88Da29013214: to=<u514@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229343, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88Daao008854 Message accepted for delivery) 
Jan  5 00:13:36 c.mx.h2.net sm-mta[9160]: jB88Dat5009160: from=<u13@h2.net>, size=1195, class=-60, nrcpts=1, msgid=<u518@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:36 c.mx.h2.net sm-mta[9166]: jB88Dat5009160: to=<u527@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229195, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88Da1t008877 Message accepted for delivery) 
Jan  5 00:13:36 a.mx.h2.net sm-mta[12572]: jB88Dar5012572: from=<u13@h2.net>, size=3811, class=-60, nrcpts=1, msgid=<u519@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:36 a.mx.h2.net sm-mta[12580]: jB88Dar5012572: to=<u526@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=231811, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DaoZ000690 Message accepted for delivery) 
Jan  5 00:13:36 b.mx.h2.net sm-mta[8614]: jB88DaWi008614: from=<u13@h2.net>, size=1195, class=-60, nrcpts=1, msgid=<u531@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:36 b.mx.h2.net sm-mta[8620]: jB88DaWi008614: to=<u542@h2.net>, delay=00:00:01, xdelay=00:00:00, mailer=esmtp, pri=229195, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88Dbiu008890 Message accepted for delivery) 
Jan  5 00:13:36 c.mx.h2.net sm-mta[9169]: jB88DakQ009169: from=<u13@h2.net>, size=1503, class=-60, nrcpts=1, msgid=<u532@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:36 c.mx.h2.net sm-mta[9179]: jB88DakQ009169: to=<u537@h2.net>, delay=00:00:01, xdelay=00:00:00, mailer=esmtp, pri=229503, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DbKm008889 Message accepted for delivery) 
Jan  5 00:13:36 d.mx.h2.net sm-mta[13228]: jB88DbQT013228: from=<u13@h2.net>, size=2049, class=-60, nrcpts=1, msgid=<u539@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:36 d.mx.h2.net sm-mta[13234]: jB88DbQT013228: to=<u553@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=230049, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DbKE008908 Message accepted for delivery) 
Jan  5 00:13:36 c.mx.h2.net sm-mta[9175]: jB88Db14009175: from=<u13@h2.net>, size=3204, class=-60, nrcpts=1, msgid=<u540@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:36 c.mx.h2.net sm-mta[9183]: jB88Db14009175: to=<u546@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=231204, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DbM0000702 Message accepted for delivery) 
Jan  5 00:13:36 a.mx.h2.net sm-mta[12585]: jB88Db19012585: from=<u13@h2.net>, size=1278, class=-60, nrcpts=1, msgid=<u541@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:36 a.mx.h2.net sm-mta[12592]: jB88Db19012585: to=<u548@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229278, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88Dbmc000703 Message accepted for delivery) 
Jan  5 00:13:36 b.mx.h2.net sm-mta[8621]: jB88DbrK008621: from=<u13@h2.net>, size=1731, class=-60, nrcpts=1, msgid=<u554@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:36 b.mx.h2.net sm-mta[8629]: jB88DbrK008621: to=<u565@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229731, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DbpV008929 Message accepted for delivery) 
Jan  5 00:13:36 a.mx.h2.net sm-mta[12594]: jB88Db9x012594: from=<u13@h2.net>, size=2348, class=-60, nrcpts=1, msgid=<u564@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:36 a.mx.h2.net sm-mta[12599]: jB88Db9x012594: to=<u571@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=230348, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88Dbsq000729 Message accepted for delivery) 
Jan  5 00:13:36 b.mx.h2.net sm-mta[8633]: jB88Dbvd008633: from=<u13@h2.net>, size=1503, class=-60, nrcpts=1, msgid=<u576@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:36 b.mx.h2.net sm-mta[8638]: jB88Dbvd008633: to=<u582@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229503, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DbEA000768 Message accepted for delivery) 
Jan  5 00:13:36 c.mx.h2.net sm-mta[9202]: jB88DbZZ009202: from=<u13@h2.net>, size=1195, class=-60, nrcpts=1, msgid=<u586@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:36 c.mx.h2.net sm-mta[9210]: jB88DbZZ009202: to=<u602@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229195, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DbFe008941 Message accepted for delivery) 
Jan  5 00:13:36 b.mx.h2.net sm-mta[8641]: jB88DbGF008641: from=<u13@h2.net>, size=1278, class=-60, nrcpts=1, msgid=<u591@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:37 b.mx.h2.net sm-mta[8649]: jB88DbGF008641: to=<u605@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229278, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DbeS008943 Message accepted for delivery) 
Jan  5 00:13:36 a.mx.h2.net sm-mta[12603]: jB88Db2e012603: from=<u13@h2.net>, size=1500, class=-60, nrcpts=1, msgid=<u597@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:37 a.mx.h2.net sm-mta[12615]: jB88Db2e012603: to=<u604@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229500, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DbCj008944 Message accepted for delivery) 
Jan  5 00:13:36 b.mx.h2.net sm-mta[8644]: jB88Dbu1008644: from=<u13@h2.net>, size=1593, class=-60, nrcpts=1, msgid=<u531@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:37 b.mx.h2.net sm-mta[8655]: jB88Dbu1008644: to=<u612@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229593, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88Db3d000780 Message accepted for delivery) 
Jan  5 00:13:37 d.mx.h2.net sm-mta[13249]: jB88Dbxd013249: from=<u13@h2.net>, size=2203, class=-60, nrcpts=1, msgid=<u603@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:37 d.mx.h2.net sm-mta[13257]: jB88Dbxd013249: to=<u611@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=230203, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88Dbch008975 Message accepted for delivery) 
Jan  5 00:13:37 c.mx.h2.net sm-mta[9212]: jB88Db7K009212: from=<u13@h2.net>, size=2043, class=-60, nrcpts=1, msgid=<u609@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:37 c.mx.h2.net sm-mta[9217]: jB88Db7K009212: to=<u616@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=230043, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DbLu008988 Message accepted for delivery) 
Jan  5 00:13:37 d.mx.h2.net sm-mta[13252]: jB88DbFO013252: from=<u13@h2.net>, size=1192, class=-60, nrcpts=1, msgid=<u613@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:37 d.mx.h2.net sm-mta[13260]: jB88DbFO013252: to=<u619@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229192, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88Dbji008990 Message accepted for delivery) 
Jan  5 00:13:37 a.mx.h2.net sm-mta[12621]: jB88DbRG012621: from=<u13@h2.net>, size=1580, class=-60, nrcpts=1, msgid=<u622@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:37 a.mx.h2.net sm-mta[12628]: jB88DbRG012621: to=<u628@h2.net>, delay=00:00:01, xdelay=00:00:00, mailer=esmtp, pri=229580, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88Dcfv009025 Message accepted for delivery) 
Jan  5 00:13:37 d.mx.h2.net sm-mta[13266]: jB88DcPM013266: from=<u13@h2.net>, size=1195, class=-60, nrcpts=1, msgid=<u647@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:37 d.mx.h2.net sm-mta[13276]: jB88DcPM013266: to=<u660@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229195, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88Dcll000806 Message accepted for delivery) 
Jan  5 00:13:37 c.mx.h2.net sm-mta[9230]: jB88DcIe009230: from=<u13@h2.net>, size=1278, class=-60, nrcpts=1, msgid=<u659@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:37 c.mx.h2.net sm-mta[9238]: jB88DcIe009230: to=<u668@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229278, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88Dc14009051 Message accepted for delivery) 
Jan  5 00:13:37 b.mx.h2.net sm-mta[8664]: jB88DcaJ008664: from=<u13@h2.net>, size=1198, class=-60, nrcpts=1, msgid=<u664@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:37 b.mx.h2.net sm-mta[8671]: jB88DcaJ008664: to=<u673@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229198, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88Dcd6009052 Message accepted for delivery) 
Jan  5 00:13:37 a.mx.h2.net sm-mta[12636]: jB88DcqV012636: from=<u13@h2.net>, size=1189, class=-60, nrcpts=1, msgid=<u692@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:38 a.mx.h2.net sm-mta[12647]: jB88DcqV012636: to=<u711@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229189, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DcFx000830 Message accepted for delivery) 
Jan  5 00:13:37 d.mx.h2.net sm-mta[13292]: jB88Dcda013292: from=<u13@h2.net>, size=1189, class=-60, nrcpts=1, msgid=<u698@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:38 d.mx.h2.net sm-mta[13297]: jB88Dcda013292: to=<u704@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229189, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88Dc06009109 Message accepted for delivery) 
Jan  5 00:13:38 c.mx.h2.net sm-mta[9242]: jB88Dcc5009242: from=<u13@h2.net>, size=1808, class=-60, nrcpts=1, msgid=<u703@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:38 c.mx.h2.net sm-mta[9259]: jB88Dcc5009242: to=<u748@h2.net>, delay=00:00:01, xdelay=00:00:00, mailer=esmtp, pri=229808, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88Dd4M000855 Message accepted for delivery) 
Jan  5 00:13:38 a.mx.h2.net sm-mta[12648]: jB88DcuO012648: from=<u13@h2.net>, size=1420, class=-60, nrcpts=1, msgid=<u714@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:38 a.mx.h2.net sm-mta[12658]: jB88DcuO012648: to=<u721@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229420, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88Dc7D000843 Message accepted for delivery) 
Jan  5 00:13:38 b.mx.h2.net sm-mta[8681]: jB88DcL7008681: from=<u13@h2.net>, size=2185, class=-60, nrcpts=1, msgid=<u715@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:38 b.mx.h2.net sm-mta[8687]: jB88DcL7008681: to=<u718@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=230185, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DcRO009121 Message accepted for delivery) 
Jan  5 00:13:38 d.mx.h2.net sm-mta[13302]: jB88Dc9U013302: from=<u13@h2.net>, size=1663, class=-60, nrcpts=1, msgid=<u720@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:38 d.mx.h2.net sm-mta[13309]: jB88Dc9U013302: to=<u733@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229663, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88Dd6v009133 Message accepted for delivery) 
Jan  5 00:13:38 c.mx.h2.net sm-mta[9248]: jB88DckZ009248: from=<u13@h2.net>, size=2967, class=-60, nrcpts=1, msgid=<u742@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:38 c.mx.h2.net sm-mta[9262]: jB88DckZ009248: to=<u750@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=230967, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DdOb000859 Message accepted for delivery) 
Jan  5 00:13:38 c.mx.h2.net sm-mta[9246]: jB88DcwO009246: from=<u13@h2.net>, size=2742, class=-60, nrcpts=1, msgid=<u745@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:38 c.mx.h2.net sm-mta[9270]: jB88DcwO009246: to=<u752@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=230742, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DdCb000869 Message accepted for delivery) 
Jan  5 00:13:38 a.mx.h2.net sm-mta[12666]: jB88DdQt012666: from=<u13@h2.net>, size=1817, class=-60, nrcpts=1, msgid=<u757@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:38 a.mx.h2.net sm-mta[12671]: jB88DdQt012666: to=<u759@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229817, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DdTd009157 Message accepted for delivery) 
Jan  5 00:13:38 d.mx.h2.net sm-mta[13314]: jB88Ddub013314: from=<u13@h2.net>, size=1432, class=-60, nrcpts=1, msgid=<u768@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:38 d.mx.h2.net sm-mta[13319]: jB88Ddub013314: to=<u771@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229432, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DdKp009169 Message accepted for delivery) 
Jan  5 00:13:38 b.mx.h2.net sm-mta[8696]: jB88Dd3n008696: from=<u13@h2.net>, size=1186, class=-60, nrcpts=1, msgid=<u783@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:39 b.mx.h2.net sm-mta[8701]: jB88Dd3n008696: to=<u796@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229186, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DdAq009183 Message accepted for delivery) 
Jan  5 00:13:39 c.mx.h2.net sm-mta[9278]: jB88Ddkh009278: from=<u13@h2.net>, size=1966, class=-60, nrcpts=1, msgid=<u784@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:39 c.mx.h2.net sm-mta[9290]: jB88Ddkh009278: to=<u795@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229966, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DdO9009184 Message accepted for delivery) 
